,0
0,3.31284258033239
1,3.6240107553147265
2,3.959310648017947
3,3.4569854129230446
4,4.564899175903399
5,3.88092347660003
6,4.064980039849814
7,4.084584660305525
8,3.3529620150427615
9,3.2156755692480825
10,3.1431227000778676
11,3.631847830987393
12,3.1819263535983655
13,2.5051119386164995
14,2.8729595429943373
15,2.8704802953123263
16,2.483995946606168
17,2.839294739095779
18,3.146261723163244
19,2.5054135513038194
20,1.9253550101581265
21,1.9604041923780713
22,2.509289172508737
23,2.6305780501928453
24,2.577560149549228
25,2.9598964674621477
26,2.469637733214231
27,2.9041869037666572
28,2.5459614126200005
29,2.8077443625826657
30,3.2313046171596262
31,3.676984930290219
32,3.197269173223214
33,3.1103859038565265
34,2.82486658334245
35,2.5583098930546644
36,2.1931934227911274
37,2.342828724925777
38,2.8453806914322968
39,3.2805736162363974
40,2.4721261965192323
41,2.5442626742600023
42,2.856024168508954
43,1.925709518181593
44,1.875085522755322
45,2.414616237256407
46,2.6379694715380193
47,2.202803242051841
48,1.825328432245783
49,2.2253943772812743
50,2.0932780432810745
51,2.31321862972211
52,2.9144823655198255
53,2.6662862875328397
54,3.055376401032399
55,3.1011311496708327
56,2.8165095255832586
57,2.8395264391370034
58,3.143256962248884
59,2.3539196121567816
60,2.5555778262242317
61,2.614390369453787
62,2.552364430224742
63,2.421304794047918
64,2.699693585471179
65,2.5785812843333584
66,3.63165580539048
67,2.647036647251852
68,2.566951751618527
69,2.652596753350034
70,2.8002111728897106
71,2.352845945691385
72,2.7787905376869713
73,2.7349602591032394
74,3.206102370515323
75,2.968213696453933
76,2.5504352995963124
77,3.3329838890448507
78,2.8080058894206914
79,2.7803751434037736
80,2.8908975137393895
81,3.763055024997323
82,2.743444149509651
83,2.9279002718442744
84,3.1567795279922386
85,2.815342242847951
86,2.7796990303013
87,3.1308436718536026
88,2.8964305039198184
89,2.781362308260592
90,2.813187855700315
91,2.9079296152827947
92,3.300437036081025
93,3.1264592445087747
94,3.1024364673708043
95,2.885202312563715
96,3.2049072364779345
97,3.2443706336803952
98,3.1015449694683124
99,2.9524746590631246
100,3.1810058543753623
101,2.9919392791001833
102,3.419256710212837
103,3.1830329886670867
104,2.9664107009593987
105,3.0804562102840833
106,2.8258660832575995
107,2.7221311388390763
108,3.378988709728368
109,3.2785906191045306
110,3.2922769925776496
111,3.5503013327635724
112,2.9763465220608776
113,3.083243853100207
114,3.149324363650507
115,3.149171077236254
116,3.616237969055076
117,3.17038721216003
118,3.408679569552369
119,3.2486919643585175
120,3.2892936018057153
121,2.936886375428406
122,2.8192333863223595
123,3.026637494613942
124,2.7002922478130635
125,2.9686998670022753
126,2.6322038894753774
127,3.444769481194056
128,3.0827176928197844
129,2.363607620257186
130,2.9126118926100926
131,2.8717168416789978
132,3.153924036394235
133,3.5630301868683105
134,3.429432627379553
135,3.4739572993747867
136,3.474669696400138
137,3.5282739937621717
138,3.405004248046774
139,3.3255161250452794
140,3.3384779946388523
141,3.4546752286737075
142,3.5101264241183223
143,3.457754364043039
144,3.4535783777934785
145,3.5654300367643685
146,3.0915527093010677
147,3.0257652694498276
148,2.8746927809423024
149,3.424572399630126
150,3.5232840389100115
151,2.7544637389828175
152,3.421029277520786
153,3.405690067761281
154,3.394498925081063
155,2.9056704549522134
156,3.463217958215333
157,3.4397334025202966
158,3.34016935840995
159,2.8397837847696366
160,3.160492869245921
161,3.415041798796665
162,3.3897251545897316
163,3.452269825484457
164,3.480579385560336
165,3.1275996859509476
166,3.242614185659944
167,3.3927853889397053
168,3.3319285873933566
169,3.467152597738835
170,3.452264285826381
171,2.8993465501154603
172,3.009924844092872
173,2.857673250226309
174,3.38809103072356
175,3.442278505431302
176,3.3651047177637388
177,3.4393483085064283
178,3.351348497752433
179,3.3570622982444114
180,3.2110853442817557
181,3.0296018474595403
182,3.3878050048072215
183,3.3932447460046173
184,3.4359711990782564
185,3.3498087751576975
186,3.3428418950004843
187,3.3863339784643323
188,3.444118469973379
189,3.323961879826255
190,3.242590758854364
191,3.4228393470953655
192,3.4026054679525934
193,3.4655425076882125
194,3.5016983584883494
195,3.383298386312587
196,3.4306023463510975
197,3.4735279845200147
198,3.142379589546703
199,3.277599900204141
200,3.2800688272795586
201,3.428610673251235
202,3.4227846791356296
203,3.311403233579197
204,3.3947142725583372
205,3.3919313003561307
206,3.428599073666815
207,3.398911372982207
208,3.4167063184644153
209,3.428674048071313
210,3.415226895338
211,3.3656002370904687
212,3.432344712181308
213,3.431905857254476
214,3.420732538498827
215,3.444037098072842
216,3.417760264877277
217,3.4462081575733396
218,3.427524099311942
219,3.418860012151473
220,3.4040382152457838
221,3.5065945244594285
222,3.377852175016292
223,3.3926460051829235
224,3.389504203160751
225,3.3956145724072666
226,3.362306365294925
227,3.4469020225735143
228,3.430106559360322
229,3.4661379320643313
230,3.42295114855367
231,3.400164539781038
232,3.3989572849854603
233,3.3354451404023813
234,3.418343409639526
235,3.4222702624305885
236,3.390970014644589
237,3.48834387348235
238,3.392756721455731
239,3.43757755486865
240,3.4459387495578238
241,3.4468071191162437
242,3.2924413559737147
243,3.4269072532517697
244,3.4132082047302585
245,3.4175717412021474
246,3.403447432550312
247,2.8844522157109207
248,3.3880288559242526
249,3.386878963745895
250,3.3191079294936863
251,3.3999481736943107
252,3.40724323573545
253,3.399032730739103
254,3.385354579511251
255,3.374199227707045
256,3.281188838927944
257,3.361026151639681
258,3.43254834400485
259,3.442821798637393
260,3.3504918077232198
261,3.4333692339825053
262,3.367241216908111
263,3.3629403314536983
264,3.4201309315455397
265,3.4017044891435937
266,3.358875739271145
267,3.3974820280799687
268,3.4093567403242098
269,3.454040819736811
270,3.423157878625201
